item_number,item_description,category,category_name,vendor_name,bottle_volume_ml,state_bottle_cost,state_bottle_retail
CARRIAGE HOUSE IMPORTS,"36531",POLK,"1032200","090",6,750,22.50
988271,"GRAN CAVA DE ORO REPOSADO",1022200,"100% AGAVE TEQUILA","STOLLER IMPORTS INC / MARSALLE COMPANY",750,30.00,45.00
926468,"COURAGE & CONVICTION CUVEE CASK",1011100,"BLENDED WHISKIES","PARK STREET IMPORTS",750,39.17,58.76
994350,"BALVENIE 12YR AMERICAN OAK",1012300,"SINGLE MALT SCOTCH","WILLIAM GRANT & SONS INC",750,36.00,54.00
967347,"WHITLEY NEILL BLOOD ORANGE GIN",1041200,"FLAVORED GIN","MHW LTD",750,16.67,25.01
88291,"PATRON SILVER MINI",1022200,"100% AGAVE TEQUILA","BACARDI USA INC",50,23.00,34.50
26357,"BARRELL SEAGRASS",1011600,"STRAIGHT RYE WHISKIES","MHW LTD",750,46.14,69.21
915887,"HA TEELING BLACKPITTS PEATED SINGLE MALT",1012400,"IRISH WHISKIES","BACARDI USA INC",750,37.49,56.24
928125,"BRECKENRIDGE PX CASK FINISH",1011100,"BLENDED WHISKIES","BRECKENRIDGE DISTILLERY / DOUBLE DIAMOND DISTILLERY LLC",750,30.00,45.00
965529,"FIORENTE ELDERFLOWER",1082100,"IMPORTED CORDIALS & LIQUEURS","LEVECKE CORPORATION",700,10.51,15.77
100938,"FIREBALL VALENTINE PACK",1701100,"TEMPORARY & SPECIALTY PACKAGES","SAZERAC COMPANY  INC",50,51.60,77.40
999929,"KOVAL SINGLE BARREL BOURBON WHISKEY BUY THE BARREL",1011300,"SINGLE BARREL BOURBON WHISKIES","KOVAL DISTILLERY",750,28.17,42.26
977358,"SUGARLANDS SHINE TICKELS DYNAMITE CINNAMON",1011700,"CORN WHISKIES","SUGARLANDS DISTILLING COMPANY LLC",750,13.52,20.28
67870,"AFTER ALL BROWNIE",1082000,"IMPORTED CORDIALS & LIQUEURS","AIKO IMPORTERS INC",750,12.75,19.13
988522,"LIBELULA TEQUILA",1022200,"100% AGAVE TEQUILA","MHW LTD",750,12.92,19.38
FRANK LIN DISTILLERS PRO,"916839",POLK,"1011200","198",6,750,25.84
921970,"WATHENS SINGLE BARREL BOURBON",1011500,"BOTTLED IN BOND BOURBON","FRANK LIN DISTILLERS PRO",750,20.00,30.00
922897,"BIRD DOG BLENDED WHISKEY",1011100,"BLENDED WHISKIES","WESTERN SPIRITS BEVERAGE",750,11.50,17.25
902421,"EL TESORO ANEJO",1022200,"100% AGAVE TEQUILA","JIM BEAM BRANDS",750,40.00,60.00
904631,"TANQUERAY GIN MINI",1901200,"SPECIAL ORDER ITEMS","DIAGEO AMERICAS",50,12.72,19.08
990029,"TEQUILA 3 AMIGOS BLANCO MINI",1022200,"100% AGAVE TEQUILA","SAN BARTOLO FARMS INC.",50,235.52,353.28
916266,"FOUR GRAIN STRAIGHT BOURBON BOTTLED IN BOND",1011200,"STRAIGHT BOURBON WHISKIES","GARGOYLE ENTERPRISES / LAWS WHISKEY HOUSE",750,43.00,64.50
904803,"VEEV ACAI",1031200,"AMERICAN FLAVORED VODKA","LUXCO INC",750,14.00,21.00
938580,"WISCONSIN CLUB VODKA",1031100,"AMERICAN VODKAS","MINHAS MICRO DISTILLERY",1000,3.75,5.63
919564,"MAKERS MARK PRIVATE SELECT BARREL BUY",1011200,"STRAIGHT BOURBON WHISKIES","JIM BEAM BRANDS",750,35.00,52.50
915882,"TEELING SINGLE GRAIN",1012400,"IRISH WHISKIES","BACARDI USA INC",750,25.00,37.50
LUXCO-ST LOUIS,"81406",POLK,"1081300","434",12,750,8.00
42511,"KIRK & SWEENEY",1062310,"SPICED RUM","3 BADGE MIXOLOGY",750,22.09,33.14
37275,"FRIS DANISH VODKA",1031100,"AMERICAN VODKAS","SAZERAC COMPANY  INC",100,1.35,2.03
912900,"CARIBOU CROSSING",1901200,"SPECIAL ORDER ITEMS","SAZERAC COMPANY  INC",750,26.00,39.00
943803,"APPLETON 12YR ESTATE RARE CASKS",1062300,"AGED DARK RUM","CAMPARI AMERICA",750,21.50,32.25
33469,"ABSOLUT LIME",1032200,"IMPORTED FLAVORED VODKA","PERNOD RICARD USA",1750,19.99,29.99
926084,"OLD PEPPER SINGLE BARREL RYE - BARREL PROOF",1011600,"STRAIGHT RYE WHISKIES","GEORGETOWN TRADING CO. LLC / JAMES PEPPER DISTILLING CO.",750,30.00,45.00
66068,"NONINO L'APERITIVO",1082100,"IMPORTED CORDIALS & LIQUEURS","PATERNO IMPORTS LTD / TERLATO WINES INTERNATIONAL",750,25.00,37.50
948167,"SOOH HENNESSY VSOP",1052100,"IMPORTED BRANDIES","MOET HENNESSY USA",1750,59.99,89.99
87075,"SKREWBALL PEANUT BUTTER WHISKEY",1011100,"BLENDED WHISKIES","INFINIUM SPIRITS",375,9.00,13.50
965077,"GIFFARD LICHI LI",1082100,"IMPORTED CORDIALS & LIQUEURS","PARK STREET IMPORTS",750,14.92,22.38
986215,"BRECKENRIDGE MADEIRA FINISH",1011100,"BLENDED WHISKIES","BRECKENRIDGE DISTILLERY / DOUBLE DIAMOND DISTILLERY LLC",750,30.00,45.00
920676,"OLD MEDLEY 12YR",1011100,"BLENDED WHISKIES","FRANK LIN DISTILLERS PRO",750,32.67,49.01
915616,"IRISHMAN SINGLE MALT",1012400,"IRISH WHISKIES","HOTALING & CO",750,25.05,37.58
