id,name,country
"Q1449380","Franz Wanka","Czech Republic"
"Q1450262","Kloster Reutberg","Germany"
"Q1402815","Brauerei Braunschweig","German Reich"
"Q1363430","Schloss","Germany"
"Q1453827","Freiberger Brauhaus","Germany"
"Q1402814","Feldschlösschen","Germany"
"Q1241865","Donner Bräu","Germany"
"Q1495495","Gasthaus","Germany"
"Q1232781","Elbschloss-Brauerei","German Reich"
"Q1462827","Brewery Geismann Fürth","Germany"
"Q1468190","Altmühltaler Getränke","Germany"
"Q1471250","Fränkisches Freilandmuseum","Germany"
"Q1246395","Weißbierbrauerei Willner","Germany"
"Q1483584","Fürstenberg Brewery","Germany"
"Q1248218","Brauerei Fiedler","German Democratic Republic"
"Q1487794","Schlossbrauerei Schwarzbach","Germany"
"Q1250741","Dortmunder Bergmann Brauerei","Germany"
"Q1250750","Dortmunder Gildenbrauerei","Germany"
"Q1250816","Dortmunder Union - Brauerei","Germany"
"Q1250806","Thier Brewery","Germany"
"Q1493616","Gansbräu","Germany"
"Q1495502","Gasthof Naundorf","Germany"
"Q1494298","Garley","German Democratic Republic"
"Q1502941","Borsod Brewery","Hungary"
"Q1516386","Mauritius Brauerei Zwickau","Germany"
"Q1333395","Els Quatre Gats","Spain"
"Q1517857","Friedrich Düll Brewery","Germany"
"Q1523835","Herbst Pitt","Germany"
"Q1524208","Gilde Brewery","Germany"
"Q1524226","Gilden Kölsch Brauerei","Germany"
"Q1527803","Ratsherrn Brauerei","Germany"
"Q1268467","Hofbrauhaus Berchtesgaden","Germany"
"Q1268688","Kronen","Germany"
"Q1277693","Hövels Hausbrauerei","Germany"
"Q1278616","Pfungstädter Brauerei","Germany"
"Q1283441","Edelweißbrauerei Oskar Farny","Germany"
"Q1290930","Schloss Brake","Germany"
"Q1292898","Meinel-Bräu","Germany"
"Q1299917","Central de Cervejas","Portugal"
"Q1306270","Augustiner Brewery Mülln","Austria"
"Q1309106","Einsiedler Brauhaus","Germany"
"Q1310990","Kirin Brewery Company, Limited","Japan"
"Q1309106","Einsiedler Brauhaus","German Democratic Republic"
"Q1313123","Foster's Group Limited","Australia"
"Q1322813","Warka","Poland"
"Q1325408","Elbrewery","Poland"
"Q1330500","Tui Brewery","New Zealand"
"Q1277801","Karlsburg-Brauerei","Germany"
"Q1337267","TCB Beteiligungsgesellschaft","Germany"
"Q1337812","Schmiedelfeld Castle","Germany"
"Q1338310","Pivovar Louny","Czech Republic"
"Q1342474","Van Honsebrouck Brewery","Belgium"
"Q1334431","Ringnes","Norway"
"Q1354046","Brauerei, Markt Piesting","Austria"
"Q1354245","Unionsbräu","Germany"
"Q1355176","Erl-Bräu","Germany"
"Q1360601","Privatbrauerei Moritz Fiege","Germany"
"Q1362504","Rupp-Bräu","Germany"
"Q1367156","Eschweger Klosterbrauerei","Germany"
"Q1368052","Westvleteren Brewery","Belgium"
"Q1382723","Hubertus Bräu","Austria"
"Q1226524","Dinkelacker-Schwaben Bräu","Germany"
"Q1226563","Markthalle IX","Germany"
"Q1227520","Luitpoldstraße 16","Germany"
"Q1229442","Distelhäuser Brewery","Germany"
"Q1402815","Brauerei Braunschweig","Germany"
"Q1403957","Adelsburg","Germany"
"Q1404247","Dresdner Felsenkellerbrauerei","Germany"
"Q1407305","Coors Brewing Company","United States"
"Q1220049","Diebels","Germany"
"Q1414562","Privatbrauerei Wittingen","Germany"
"Q1232781","Elbschloss-Brauerei","Germany"
"Q1422061","Labatt Brewing Company","Canada"
"Q1422369","Alexander Keith's Brewery","Canada"
"Q1417055","Meininger Privatbrauerei","German Democratic Republic"
"Q1423821","Schlossbrauerei Eichhofen","Germany"
"Q1435628","FEMSA","Mexico"
"Q1439856","Founders Organic Brewery","New Zealand"
"Q601859","Jever Brewery","Germany"
"Q358035","Adler-Brauerei Coswig","Germany"
"Q266565","Markus Wasmeier Bauernhof- und Wintersportmuseum","Germany"
"Q127305","Paulaner Brewery","Germany"
"Q204880","Licher Brewery","Germany"
"Q128270","Astika Brewery","Bulgaria"
"Q608350","Veltins Brewery","Germany"
"Q12221","Starobrno Brewery","Czech Republic"
